"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.800643458E0,1.875449982E0,1.397942963E0,3.892954559E0
1.810601458E0,2.265688477E0,1.242266693E0,4.185446320E0
1.820559458E0,2.847528534E0,1.374142456E0,5.225483551E0
1.830517458E0,3.215463409E0,1.618434448E0,5.725443878E0
1.840475458E0,3.306923218E0,1.809437256E0,5.065316620E0
1.850433458E0,3.136128387E0,1.860181732E0,4.692591705E0
1.860391458E0,2.750679932E0,2.153871002E0,4.823120270E0
1.870349458E0,2.359393616E0,2.789748688E0,5.316943359E0
1.880307458E0,2.196681976E0,3.323838043E0,5.606441345E0
1.890265458E0,2.292333069E0,3.852987671E0,5.681136017E0
1.900223458E0,2.716700592E0,4.398603058E0,6.301895142E0
1.910181458E0,2.937940521E0,4.919519806E0,7.448959808E0
1.920139458E0,2.580034790E0,5.257666626E0,8.669222260E0
1.930097458E0,1.935175781E0,5.362299042E0,9.823322296E0
1.940056333E0,1.334025879E0,5.560636597E0,1.061038559E1
1.950014333E0,6.866221619E-1,5.852529602E0,1.126272903E1
1.959972333E0,8.502319336E-2,5.835764465E0,1.115061218E1
1.969930333E0,-1.619631958E-1,5.783672791E0,1.110675339E1
1.979888333E0,7.664062500E-2,5.879174194E0,1.176283905E1
1.989846333E0,6.608757019E-1,5.972729645E0,1.322305252E1
1.999804333E0,1.024020538E0,5.660029907E0,1.471050934E1
2.009762333E0,8.897497559E-1,5.156626740E0,1.562121552E1
2.019720333E0,6.439608765E-1,4.919070740E0,1.586655533E1
2.029677333E0,5.179229736E-1,5.104085999E0,1.538665329E1
2.039635333E0,5.774990845E-1,5.536686401E0,1.399290161E1
2.049593333E0,5.252577209E-1,6.003864899E0,1.225621307E1
2.059551333E0,3.835025024E-1,6.410868530E0,1.074675201E1
2.069509333E0,2.927911377E-1,6.841672668E0,9.079219666E0
2.079467333E0,2.978805542E-1,7.070546722E0,7.530989227E0
2.089425333E0,1.225950623E-1,6.987619171E0,6.165828094E0
2.099383333E0,-1.902543640E-1,6.472091217E0,5.289999390E0
2.109341333E0,-6.559359741E-1,5.570366364E0,4.900509338E0
2.119299333E0,-1.172212372E0,4.423152008E0,4.822970581E0
2.129257333E0,-1.437610474E0,3.527265015E0,4.794829102E0
2.139215333E0,-1.358724518E0,2.914888458E0,4.853656769E0
2.149173333E0,-9.072633362E-1,2.739902344E0,4.395459595E0
2.159131333E0,-7.918533325E-2,2.902913361E0,4.278552704E0
2.169089333E0,7.313790894E-1,3.030597839E0,4.683311005E0
2.179047333E0,9.979747009E-1,2.963836670E0,5.359754333E0
2.189005333E0,1.039588165E0,2.632725220E0,6.016289062E0
2.198963333E0,9.647438049E-1,2.338586884E0,6.494694214E0
2.208921333E0,5.510041809E-1,2.087558899E0,6.747817841E0
2.218879333E0,2.724334717E-2,1.802850952E0,6.614445190E0
2.228837333E0,-3.164419556E-1,1.563199310E0,6.239175568E0
2.238795333E0,-5.469625854E-1,1.449136505E0,6.311026154E0
2.248753333E0,-4.564009094E-1,1.648072815E0,6.479575653E0
2.258711333E0,-7.619155884E-2,2.196981354E0,7.068151703E0
2.268669333E0,1.627116394E-1,3.153941345E0,8.448132019E0
2.278627333E0,-2.411485291E-1,3.945195923E0,9.008865967E0
2.288585333E0,-1.144070892E0,4.565805359E0,8.966354370E0
2.298543333E0,-2.623145142E0,5.509592743E0,8.824000397E0
2.308501333E0,-3.631148987E0,6.760092316E0,8.472082214E0
2.318459333E0,-3.508853302E0,7.283404083E0,8.383167114E0
2.328417333E0,-2.439327393E0,7.004683685E0,9.066645813E0
2.338375333E0,-5.480104065E-1,6.827003174E0,1.091335556E1
2.348332333E0,9.300160217E-1,6.961423645E0,1.392793671E1
2.358290333E0,1.122665405E0,6.725364532E0,1.692754898E1
2.368248333E0,1.651066589E-1,5.959557037E0,1.834704712E1
2.378206333E0,-1.194965057E0,5.310207367E0,1.798629730E1
2.388164333E0,-2.096689911E0,5.350623322E0,1.672397232E1
2.398122333E0,-2.040257263E0,6.034700775E0,1.535342239E1
2.408080333E0,-1.358874207E0,6.563101959E0,1.461860046E1
2.418038333E0,-5.640270996E-1,6.740183716E0,1.372585693E1
2.427996333E0,3.284170532E-1,6.478378143E0,1.204470291E1
2.437954333E0,1.020577698E0,5.937103729E0,1.086276077E1
2.447912333E0,1.554667053E0,5.413193207E0,1.014455429E1
2.457870333E0,2.023342438E0,4.849914551E0,9.204658813E0
2.467828333E0,2.419269104E0,4.344266052E0,8.007598114E0
2.477786333E0,2.723286896E0,4.038601685E0,6.949598236E0
2.487744333E0,2.755020905E0,4.044439545E0,6.047274628E0
2.497702333E0,2.716401215E0,4.110901337E0,5.232219543E0
2.507660333E0,2.873724060E0,4.214336243E0,4.612208862E0
2.517618333E0,3.032992859E0,4.180506592E0,3.748954010E0
2.527576333E0,3.168311462E0,3.932173004E0,3.079096985E0
2.537534333E0,3.250939636E0,3.559148712E0,3.043022003E0
2.547492333E0,2.860401764E0,2.875670013E0,3.501518555E0
2.557450333E0,2.375410309E0,1.641935577E0,4.585863647E0
2.567408333E0,1.727258148E0,4.188290405E-1,5.644911346E0
2.577366333E0,1.397493896E0,-1.875599670E-1,6.127657471E0
2.587324333E0,1.491947479E0,-1.050814819E-1,5.997128906E0
2.597282333E0,1.709894257E0,4.285588074E-1,6.349496155E0
2.607240333E0,2.370620270E0,8.419990540E-1,6.484515381E0
2.617198333E0,3.123704224E0,1.374441833E0,6.799460449E0
2.627156333E0,3.220702515E0,2.017953644E0,7.230863342E0
2.637114333E0,2.895279236E0,2.567910004E0,7.338040466E0
2.647071333E0,2.208357697E0,3.181933136E0,8.031099243E0
2.657029333E0,1.826950836E0,3.666625214E0,8.312663727E0
2.666987333E0,1.936522980E0,3.759282532E0,8.131091309E0
2.676945333E0,2.108665009E0,3.485801239E0,9.508227539E0
