"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.953749333E0,-1.414920837E-1,2.061690390E-1,-5.299237967E-1
1.963707333E0,-3.570370376E-1,-6.647434831E-2,-4.357562363E-1
1.973665333E0,-5.416641235E-1,-4.400042593E-1,-3.738510609E-1
1.983623333E0,-6.660895348E-1,-7.568795085E-1,-3.891789317E-1
1.993581333E0,-6.619459391E-1,-9.862330556E-1,-4.129356742E-1
2.003539333E0,-5.240957141E-1,-1.135017037E0,-3.796671033E-1
2.013497333E0,-3.041159213E-1,-1.200342536E0,-2.837885320E-1
2.023455333E0,-7.991328835E-2,-1.155948162E0,-1.577584296E-1
2.033412333E0,4.655543342E-2,-1.065626860E0,-5.659426376E-2
2.043370333E0,5.995371193E-2,-9.729654193E-1,2.772921231E-3
2.053328333E0,1.956261322E-2,-8.713328242E-1,2.805510722E-2
2.063286333E0,-9.019486606E-2,-7.846515775E-1,-5.607780069E-3
2.073244333E0,-2.759591341E-1,-6.814426184E-1,-1.005798280E-1
2.083202333E0,-5.192605257E-1,-6.036264896E-1,-2.228391618E-1
2.093160333E0,-7.756912708E-1,-5.034972429E-1,-3.293597400E-1
2.103118333E0,-1.018915892E0,-3.575989306E-1,-3.682451546E-1
2.113076333E0,-1.180321097E0,-2.281016558E-1,-3.081493080E-1
2.123034333E0,-1.195615649E0,-1.940070689E-1,-1.774123460E-1
2.132992333E0,-1.079834461E0,-1.951311827E-1,-1.628656685E-2
2.142950333E0,-9.306275845E-1,-2.956073880E-1,9.733875841E-2
2.152908333E0,-7.658876777E-1,-4.279883206E-1,1.178530827E-1
2.162866333E0,-6.097010970E-1,-4.855085313E-1,4.986488819E-2
2.172824333E0,-4.539951086E-1,-4.417748749E-1,-5.598377809E-2
2.182782333E0,-2.959752977E-1,-3.093091846E-1,-1.266048253E-1
2.192740333E0,-1.759075075E-1,-7.335681468E-2,-1.725510061E-1
2.202698333E0,-9.090153128E-2,2.195535749E-1,-1.701641530E-1
2.212656333E0,-1.251643989E-2,4.666848183E-1,-9.951234609E-2
2.222614333E0,1.180138513E-1,5.478809476E-1,2.158460394E-2
2.232572333E0,2.826299667E-1,5.608204603E-1,1.701533049E-1
2.242530333E0,4.569056332E-1,5.015277267E-1,2.836064994E-1
2.252488333E0,7.071080208E-1,3.917192519E-1,3.402910829E-1
2.262446333E0,1.047111869E0,3.478305638E-1,3.175381124E-1
2.272404333E0,1.350219250E0,3.396298885E-1,3.031277359E-1
2.282362333E0,1.542471409E0,3.141306639E-1,3.395766914E-1
2.292320333E0,1.627152443E0,2.430876344E-1,4.628786445E-1
2.302278333E0,1.602321744E0,2.220844477E-2,6.183593869E-1
2.312236333E0,1.435878754E0,-3.110659122E-1,7.590672374E-1
2.322194333E0,1.104682565E0,-6.358313560E-1,8.477242589E-1
2.332152333E0,6.664946079E-1,-8.252268434E-1,7.977058887E-1
2.342110333E0,2.600589991E-1,-7.254328132E-1,6.216315031E-1
2.352067333E0,1.350222994E-2,-3.236065209E-1,4.459022880E-1
2.362025333E0,-7.832519710E-2,1.980475485E-1,4.072397947E-1
2.371983333E0,-8.129515499E-2,6.186618805E-1,5.539024472E-1
2.381941333E0,-9.995565563E-2,8.882889152E-1,7.676000595E-1
2.391899333E0,-1.324230433E-1,9.587748051E-1,9.151828885E-1
2.401857333E0,-1.071073115E-1,9.244865179E-1,9.450925589E-1
2.411815333E0,-1.313766837E-2,7.880820632E-1,8.750437498E-1
2.421773333E0,9.973858297E-2,4.870575368E-1,7.365015149E-1
2.431731333E0,2.136542350E-1,1.509295851E-1,5.812307000E-1
2.441689333E0,2.967739403E-1,-4.625868425E-2,4.661647677E-1
2.451647333E0,3.015380800E-1,-8.443856239E-2,3.793558180E-1
2.461605333E0,1.963616908E-1,8.769458160E-3,3.202707171E-1
2.471563333E0,-3.445417853E-3,2.078913450E-1,2.648066580E-1
2.481521333E0,-2.749708593E-1,4.891521633E-1,1.886800379E-1
2.491479333E0,-5.609669685E-1,7.498801947E-1,8.496135473E-2
2.501437333E0,-8.089956641E-1,9.674044847E-1,-6.980758160E-2
2.511395333E0,-9.953556657E-1,1.041465282E0,-2.790984809E-1
2.521353333E0,-1.118174076E0,9.807432890E-1,-5.189947486E-1
2.531311333E0,-1.185971498E0,8.800553083E-1,-7.624667883E-1
2.541269333E0,-1.175151110E0,7.341912985E-1,-9.373466969E-1
2.551227333E0,-1.027162433E0,6.084528565E-1,-9.906054139E-1
2.561185333E0,-7.370787859E-1,5.157331824E-1,-8.945029974E-1
2.571143333E0,-4.063256383E-1,4.353691041E-1,-7.338885069E-1
2.581101333E0,-6.511384249E-2,2.356401533E-1,-5.869720578E-1
2.591059333E0,2.658755183E-1,5.818467960E-2,-5.151072145E-1
2.601017333E0,5.154808164E-1,-1.199763119E-1,-5.166940689E-1
2.610975333E0,7.331364155E-1,-2.479723692E-1,-5.749635100E-1
2.620933333E0,9.447278380E-1,-3.295815587E-1,-6.610806584E-1
2.630891333E0,1.112309933E0,-4.491345882E-1,-7.025172710E-1
2.640849333E0,1.263093591E0,-5.141304135E-1,-6.711632609E-1
2.650806333E0,1.366182446E0,-6.152253151E-1,-5.961057544E-1
2.660764333E0,1.375829697E0,-8.784044385E-1,-5.084433556E-1
2.670722333E0,1.326292753E0,-1.053747296E0,-3.917292356E-1
2.680680333E0,1.285689116E0,-1.129096150E0,-2.772187293E-1
2.690638333E0,1.339635015E0,-1.128460169E0,-2.309327275E-1
2.700596333E0,1.373463035E0,-1.096053123E0,-2.564068437E-1
2.710554333E0,1.281320333E0,-1.051426768E0,-3.119705021E-1
2.720512333E0,1.026550531E0,-1.130099893E0,-3.352590203E-1
2.730470333E0,5.877912045E-1,-1.416057706E0,-3.158371150E-1
2.740428333E0,1.026252564E-2,-1.780760646E0,-2.768028677E-1
2.750386333E0,-6.159715652E-1,-2.090970755E0,-2.724113166E-1
2.760344333E0,-1.154458642E0,-2.171175718E0,-3.212051392E-1
2.770302333E0,-1.513962388E0,-1.970799327E0,-3.649260104E-1
2.780260333E0,-1.639091492E0,-1.511574745E0,-3.571786880E-1
2.790218333E0,-1.623547077E0,-9.404917359E-1,-2.868491113E-1
2.800176333E0,-1.558468461E0,-4.142286181E-1,-1.837894022E-1
2.810134333E0,-1.491851449E0,-3.447411209E-2,-6.748304516E-2
2.820092333E0,-1.440496683E0,2.110595256E-1,4.262648989E-3
2.830050333E0,-1.389093757E0,3.358746767E-1,2.826598659E-2
2.840008333E0,-1.330823183E0,3.271340728E-1,4.368564487E-2
2.849966333E0,-1.275030255E0,1.854839921E-1,3.572199494E-2
2.859924333E0,-1.216874957E0,-3.199087828E-2,-3.436730057E-2
2.869882333E0,-1.125865579E0,-2.275047153E-1,-2.076778263E-1
2.879840333E0,-9.648612142E-1,-2.846821547E-1,-4.930630624E-1
2.889798333E0,-7.390528917E-1,-2.410609275E-1,-7.855843902E-1
2.899756333E0,-4.509505033E-1,-1.969427466E-1,-9.471343160E-1
2.909714333E0,-1.113471463E-1,-2.167952806E-1,-9.226731658E-1
2.919672333E0,2.048831135E-1,-2.987911999E-1,-7.828954458E-1
