"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.767503796E1,3.293087769E1,-2.714801598E1,-2.047969055E1
2.768499596E1,3.285827255E1,-2.673684120E1,-2.058923340E1
2.769495396E1,3.295388412E1,-2.653435516E1,-2.081507874E1
2.770491096E1,3.290681458E1,-2.627129745E1,-2.131373596E1
2.771486896E1,3.286083221E1,-2.611853218E1,-2.169740295E1
2.772482696E1,3.264932632E1,-2.616648674E1,-2.205618286E1
2.773478496E1,3.246107483E1,-2.629190254E1,-2.235377502E1
2.774474296E1,3.232397842E1,-2.661500549E1,-2.234106445E1
2.775470096E1,3.187015152E1,-2.694482231E1,-2.220028687E1
2.776465896E1,3.177032089E1,-2.739577484E1,-2.211822510E1
2.777461596E1,3.138228989E1,-2.754397774E1,-2.195114136E1
2.778457396E1,3.140660095E1,-2.791215324E1,-2.159664917E1
2.779453196E1,3.162535477E1,-2.822220230E1,-2.102244568E1
2.780448996E1,3.177060699E1,-2.852833939E1,-2.041435242E1
2.781444796E1,3.187481308E1,-2.854199409E1,-1.959846497E1
2.782440596E1,3.209292603E1,-2.883656120E1,-1.883055115E1
2.783436396E1,3.244269180E1,-2.917137909E1,-1.783500671E1
2.784432096E1,3.282608795E1,-2.954031372E1,-1.643730164E1
2.785427896E1,3.341769409E1,-3.046287727E1,-1.360786438E1
2.786423696E1,3.320955658E1,-3.109483528E1,-1.260415649E1
2.787419496E1,3.263555145E1,-3.177131081E1,-1.190284729E1
2.788415296E1,3.198237228E1,-3.282877350E1,-1.170750427E1
2.789411096E1,3.074361420E1,-3.383725739E1,-1.184907532E1
2.790406896E1,2.938567734E1,-3.491604996E1,-1.223240662E1
2.791402696E1,2.796340179E1,-3.594776535E1,-1.274208069E1
2.792398396E1,2.674897766E1,-3.675459290E1,-1.309814453E1
2.793394196E1,2.565292358E1,-3.748167801E1,-1.296250916E1
2.794389996E1,2.470280457E1,-3.804428864E1,-1.274147034E1
2.795385796E1,2.436285782E1,-3.821947479E1,-1.267890930E1
2.796381637E1,2.401833344E1,-3.836434937E1,-1.238264465E1
2.797377437E1,2.403200150E1,-3.856872177E1,-1.218240356E1
2.798373137E1,2.401481247E1,-3.864252853E1,-1.203549194E1
2.799368937E1,2.404539871E1,-3.857073975E1,-1.201187134E1
2.800364737E1,2.403443527E1,-3.849504089E1,-1.210688782E1
2.801360537E1,2.408184433E1,-3.847251129E1,-1.244216919E1
2.802356337E1,2.410346985E1,-3.840521240E1,-1.236137390E1
2.803352137E1,2.404645157E1,-3.848321915E1,-1.236016846E1
2.804347937E1,2.389516068E1,-3.857483673E1,-1.235931396E1
2.805343737E1,2.370180130E1,-3.878298950E1,-1.240406799E1
2.806339437E1,2.342322159E1,-3.912191010E1,-1.207626343E1
2.807335237E1,2.320209122E1,-3.927268982E1,-1.152656555E1
2.808331037E1,2.299173355E1,-3.958527374E1,-1.083033752E1
2.809326837E1,2.273569489E1,-3.990096283E1,-1.032914734E1
2.810322637E1,2.260569763E1,-3.996308136E1,-9.752349854E0
2.811318437E1,2.261194992E1,-4.051801682E1,-9.329010010E0
2.812314137E1,2.229871178E1,-4.049840927E1,-8.667816162E0
2.813309937E1,2.222628975E1,-4.061325073E1,-8.582427979E0
2.814305737E1,2.231579781E1,-4.050657272E1,-8.458374023E0
2.815301537E1,2.236318016E1,-4.056734848E1,-8.140090942E0
2.816297337E1,2.250091362E1,-4.034903336E1,-8.416687012E0
