"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.178887181E2,2.258976133E1,1.139625206E2,2.501386797E1,1.602068356E0,8.407659724E1,1.422171009E1,1.422171009E1
1.188887192E2,2.258976980E1,1.139625471E2,2.442362984E1,2.244753496E0,8.028932336E1,1.422407245E1,1.422407245E1
1.198887193E2,2.258977824E1,1.139625611E2,2.456538690E1,1.710061430E0,7.205039554E1,1.422361009E1,1.422361009E1
1.208887206E2,2.258978788E1,1.139625864E2,2.393073171E1,2.352683820E0,7.178580416E1,1.422605765E1,1.422605765E1
1.218887197E2,2.258979953E1,1.139625945E2,2.384491434E1,1.568256271E0,5.837632512E1,1.422469484E1,1.422469484E1
1.228887208E2,2.258981128E1,1.139626169E2,2.313058366E1,2.347003403E0,6.092270138E1,1.422968357E1,1.422968357E1
1.238887208E2,2.258980728E1,1.139626224E2,2.354843941E1,1.185715487E0,7.182682343E1,1.422453888E1,1.422453888E1
1.248887218E2,2.258982734E1,1.139626499E2,2.313061994E1,2.365793229E0,6.281202944E1,1.422705989E1,1.422705989E1
1.258887224E2,2.258984629E1,1.139626695E2,2.338068172E1,2.525907826E0,5.486010260E1,1.422779660E1,1.422779660E1
1.268887227E2,2.258985754E1,1.139626852E2,2.321077694E1,2.207876701E0,5.312541671E1,1.422809262E1,1.422809262E1
1.278887241E2,2.258987203E1,1.139626990E2,2.300903834E1,2.220972365E0,4.701392195E1,1.422959257E1,1.422959257E1
1.288887237E2,2.258988345E1,1.139627134E2,2.353127096E1,2.075116374E0,4.701148507E1,1.422816131E1,1.422816131E1
1.298887244E2,2.258989532E1,1.139627310E2,2.300441246E1,2.108420472E0,4.883349421E1,1.422710746E1,1.422710746E1
1.308887244E2,2.258991206E1,1.139627448E2,2.303102657E1,2.194619128E0,4.381393404E1,1.422682962E1,1.422682962E1
1.318887248E2,2.258993038E1,1.139627569E2,2.350534457E1,2.323890476E0,3.738803324E1,1.422625904E1,1.422625904E1
1.328884810E2,2.258994660E1,1.139627648E2,2.321039195E1,2.305774958E0,3.448829434E1,1.422823644E1,1.422823644E1
1.338884950E2,2.258996009E1,1.139627742E2,2.285698454E1,2.211538174E0,3.542526917E1,1.423026769E1,1.423026769E1
1.348885051E2,2.258998138E1,1.139627837E2,2.290204782E1,2.460478136E0,3.119884407E1,1.423237473E1,1.423237473E1
1.358885189E2,2.258999421E1,1.139627927E2,2.275585741E1,2.270972303E0,3.112899642E1,1.423479093E1,1.423479093E1
1.368885238E2,2.259001481E1,1.139627998E2,2.245790259E1,2.364146901E0,2.483658537E1,1.423476349E1,1.423476349E1
1.378885415E2,2.259004426E1,1.139628127E2,2.307937870E1,2.874586620E0,2.394333834E1,1.423534710E1,1.423534710E1
1.388885537E2,2.259006606E1,1.139628138E2,2.310695446E1,2.690946029E0,1.736098236E1,1.423861598E1,1.423861598E1
1.398885657E2,2.259007853E1,1.139628163E2,2.293534061E1,2.187595489E0,1.839027334E1,1.423967006E1,1.423967006E1
1.408885713E2,2.259010225E1,1.139628180E2,2.298760132E1,2.235379892E0,1.711684018E1,1.424073114E1,1.424073114E1
1.418885847E2,2.259012694E1,1.139628156E2,2.303145176E1,2.262667605E0,1.176438907E1,1.423922940E1,1.423922940E1
1.428885905E2,2.259014510E1,1.139628194E2,2.315455808E1,2.121612991E0,1.411457820E1,1.423957869E1,1.423957869E1
1.438886034E2,2.259016593E1,1.139628255E2,2.300785963E1,2.130205926E0,1.572276456E1,1.424019315E1,1.424019315E1
1.448886110E2,2.259018457E1,1.139628197E2,2.313322075E1,2.032611459E0,3.550744116E0,1.424392721E1,1.424392721E1
1.458886255E2,2.259020285E1,1.139628144E2,2.359742289E1,2.011295023E0,3.590389607E2,1.423826963E1,1.423826963E1
1.468886313E2,2.259022595E1,1.139628099E2,2.294163240E1,2.299896143E0,7.850856716E-1,1.423498555E1,1.423498555E1
1.478886424E2,2.259024433E1,1.139628071E2,2.339657618E1,1.832070292E0,3.589183530E2,1.423102725E1,1.423102725E1
1.488886467E2,2.259026282E1,1.139628036E2,2.325622125E1,1.906101970E0,3.587128414E2,1.423304187E1,1.423304187E1
1.498886570E2,2.259028279E1,1.139628047E2,2.329847778E1,1.976353806E0,3.584701534E0,1.423461485E1,1.423461485E1
1.508886614E2,2.259030769E1,1.139627999E2,2.360663617E1,2.196402847E0,3.582915060E2,1.423111143E1,1.423111143E1
1.518886678E2,2.259032048E1,1.139627990E2,2.357241119E1,1.796245979E0,3.596006512E2,1.422938890E1,1.422938890E1
1.528886722E2,2.259033612E1,1.139627979E2,2.391180648E1,1.830255076E0,3.593437198E2,1.423159392E1,1.423159392E1
1.538886783E2,2.259036178E1,1.139627977E2,2.376838551E1,2.264555076E0,3.584295060E2,1.423061560E1,1.423061560E1
1.548886837E2,2.259037620E1,1.139627960E2,2.341566207E1,1.882947485E0,3.558285239E2,1.422968925E1,1.422968925E1
1.558886883E2,2.259040066E1,1.139627959E2,2.332837903E1,2.137372299E0,3.589777642E2,1.423042133E1,1.423042133E1
1.568886923E2,2.259041804E1,1.139627953E2,2.293492679E1,1.879955596E0,3.587390326E2,1.422708136E1,1.422708136E1
1.578886971E2,2.259044121E1,1.139627924E2,2.312774204E1,2.145693406E0,3.547816536E2,1.422862101E1,1.422862101E1
1.588887014E2,2.259045914E1,1.139627989E2,2.233857466E1,1.896544387E0,4.004673661E0,1.422723393E1,1.422723393E1
1.598887058E2,2.259047785E1,1.139627957E2,2.248535654E1,1.829257812E0,9.354691168E-1,1.423089386E1,1.423089386E1
1.608887094E2,2.259049970E1,1.139627944E2,2.275361570E1,1.931553342E0,3.579851438E2,1.423495218E1,1.423495218E1
1.618887131E2,2.259051241E1,1.139627953E2,2.274352276E1,1.584064853E0,4.451592573E-1,1.423414081E1,1.423414081E1
1.628887166E2,2.259053946E1,1.139627940E2,2.264826717E1,1.999241145E0,2.985847342E-1,1.423453980E1,1.423453980E1
