"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.066750134E2,2.258767234E1,1.139652564E2,1.823975694E1,1.638943780E0,2.689238932E2,1.422236920E1,1.422236920E1
1.076750433E2,2.258767306E1,1.139652433E2,1.802624939E1,1.390084564E0,2.714757491E2,1.422683741E1,1.422683741E1
1.086750723E2,2.258767246E1,1.139652271E2,1.863426695E1,1.335795127E0,2.719878173E2,1.422192979E1,1.422192979E1
1.096751016E2,2.258767241E1,1.139652108E2,1.841640825E1,1.400405083E0,2.678309959E2,1.421890331E1,1.421890331E1
1.106751317E2,2.258766855E1,1.139651895E2,1.870797511E1,1.680931748E0,2.598218742E2,1.421812348E1,1.421812348E1
1.116751609E2,2.258766860E1,1.139651695E2,1.856987587E1,1.734085115E0,2.608142233E2,1.421788582E1,1.421788582E1
1.126751903E2,2.258767324E1,1.139651588E2,1.855577665E1,1.373050821E0,2.689173485E2,1.421645741E1,1.421645741E1
1.136752199E2,2.258766880E1,1.139651448E2,1.921376311E1,1.230228468E0,2.648167754E2,1.421508085E1,1.421508085E1
1.146752487E2,2.258767059E1,1.139651245E2,1.947390826E1,1.496042795E0,2.701249841E2,1.421288962E1,1.421288962E1
1.156752794E2,2.258767353E1,1.139651151E2,1.972951393E1,1.199223999E0,2.775927848E2,1.421038967E1,1.421038967E1
1.166753086E2,2.258767326E1,1.139650921E2,2.023655490E1,1.517739082E0,2.768841988E2,1.420784309E1,1.420784309E1
1.176753378E2,2.258767876E1,1.139650803E2,2.060327163E1,1.431384997E0,2.811373887E2,1.420605797E1,1.420605797E1
1.186753670E2,2.258767689E1,1.139650665E2,2.054968471E1,1.404931392E0,2.721892337E2,1.420502051E1,1.420502051E1
1.196753960E2,2.258768131E1,1.139650520E2,2.068660811E1,1.454704721E0,2.758512423E2,1.420465100E1,1.420465100E1
1.206754256E2,2.258768387E1,1.139650411E2,2.116233616E1,1.367882192E0,2.790444400E2,1.420390025E1,1.420390025E1
