"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.206548583E0,-9.601034546E-1,1.785636749E0,1.191552155E1
3.216504583E0,-5.789959717E-1,1.871707764E0,1.219738541E1
3.226460583E0,1.875599670E-1,1.895059204E0,1.258253448E1
3.236416583E0,6.620732117E-1,1.638492737E0,1.330493225E1
3.246372583E0,4.939727783E-1,1.201102295E0,1.375040588E1
3.256328583E0,-3.709286499E-1,8.405021667E-1,1.342887451E1
3.266284583E0,-1.690135345E0,7.485932922E-1,1.246892075E1
3.276240583E0,-2.545905762E0,8.535250854E-1,1.094104797E1
3.286195583E0,-2.660567322E0,1.350192261E0,9.364676056E0
3.296151583E0,-2.323917389E0,2.162852325E0,8.107590179E0
3.306107583E0,-1.606609039E0,2.727927246E0,7.077133026E0
3.316063583E0,-3.559597778E-1,3.014281769E0,6.873406677E0
3.326019583E0,1.033301239E0,3.094664612E0,7.974965973E0
3.335975583E0,1.969454498E0,2.884202271E0,9.559870148E0
3.345931583E0,2.226619720E0,2.271226959E0,1.053269714E1
3.355887583E0,1.796863403E0,1.245110779E0,1.080288528E1
3.365843583E0,7.017407227E-1,-9.984237671E-2,1.071876022E1
3.375799583E0,-6.435118103E-1,-1.194066925E0,1.080572937E1
3.385754583E0,-1.666933594E0,-1.965412903E0,1.087039490E1
3.395710583E0,-2.167642365E0,-2.301763458E0,1.040381516E1
3.405666583E0,-2.151925049E0,-2.024090881E0,9.667047272E0
3.415622583E0,-1.547931061E0,-1.497336273E0,8.807983704E0
3.425578583E0,-8.789721680E-1,-8.135581970E-1,8.274193726E0
3.435534583E0,-3.540138245E-1,-1.562750244E-1,7.861202545E0
3.445490583E0,5.613327026E-2,3.716770935E-1,7.355703735E0
3.455446583E0,1.965412903E-1,8.819659424E-1,7.220834198E0
3.465402583E0,-2.155517578E-2,1.224004669E0,7.110663300E0
3.475357583E0,-2.893482971E-1,1.346000977E0,6.658902740E0
3.485313583E0,-3.797602844E-1,1.550924835E0,6.244564362E0
3.495269583E0,-2.022294617E-1,1.846560059E0,6.007307739E0
3.505225583E0,1.995350647E-1,2.169588318E0,6.051765289E0
3.515181583E0,7.773335266E-1,2.458786926E0,6.684349823E0
3.525137583E0,1.215921478E0,2.655777283E0,7.672894135E0
3.535093583E0,1.379381561E0,2.718945923E0,8.552764435E0
3.545049583E0,1.147663422E0,2.505190430E0,9.039851532E0
3.555005583E0,7.062313843E-1,2.309696960E0,9.038953400E0
3.564960583E0,2.998265076E-1,2.214794312E0,8.632398834E0
3.574916583E0,-3.652404785E-2,2.140249329E0,8.342451782E0
3.584872583E0,-2.002835083E-1,2.105072479E0,8.334069214E0
3.594828583E0,-2.350112915E-1,2.105521545E0,8.633296967E0
3.604784583E0,-9.939331055E-2,2.081571350E0,9.163494415E0
3.614740583E0,9.759704590E-2,1.883084106E0,9.827363892E0
3.624696583E0,3.158432007E-1,1.515747986E0,1.056458084E1
3.634652583E0,2.999761963E-1,9.345066833E-1,1.131811386E1
3.644608583E0,9.624984741E-2,1.968406677E-1,1.201356766E1
3.654563583E0,-1.031355286E-1,-3.493734741E-1,1.274389893E1
3.664519583E0,-2.712359619E-1,-7.102729797E-1,1.332993027E1
3.674475583E0,-6.692582703E-1,-7.840695190E-1,1.392658951E1
3.684431583E0,-9.626481628E-1,-2.986289978E-1,1.398212402E1
3.694387333E0,-9.467811584E-1,7.029382324E-1,1.306857376E1
3.704343333E0,-3.323089600E-2,1.372795258E0,1.084599564E1
3.714299333E0,1.586999817E0,1.665287018E0,9.404193878E0
3.724255333E0,3.436254272E0,1.813179474E0,1.087757996E1
3.734211333E0,4.314178619E0,1.313668213E0,1.433269501E1
3.744166333E0,3.915557556E0,-1.333726501E-1,1.721659790E1
3.754122333E0,2.573747864E0,-1.824855194E0,1.781176025E1
3.764078333E0,5.498066711E-1,-2.656525726E0,1.662981812E1
3.774034333E0,-1.220112762E0,-2.364632721E0,1.423674454E1
3.783990333E0,-1.565893707E0,-1.540147247E0,1.115959351E1
3.793946333E0,-1.156495056E0,-2.966830444E-1,8.598269806E0
3.803902333E0,-3.788621521E-1,1.246757355E0,7.065157928E0
3.813858333E0,5.480104065E-1,2.651585999E0,6.423292694E0
3.823814333E0,1.447489929E0,3.494782562E0,6.095923462E0
3.833769333E0,2.146536255E0,3.775448914E0,6.023923187E0
