"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.284959600E2,2.258776971E1,1.139651205E2,2.050449653E1,1.404111107E0,2.729446904E2,1.418534933E1,1.418534933E1
1.294988276E2,2.258777295E1,1.139651077E2,2.085947153E1,1.424506460E0,2.736584038E2,1.418859866E1,1.418859866E1
1.304964142E2,2.258777273E1,1.139650983E2,2.108326998E1,1.281001440E0,2.702731956E2,1.418792227E1,1.418792227E1
1.314973226E2,2.258777218E1,1.139650794E2,2.098286509E1,1.427985615E0,2.680015251E2,1.417474987E1,1.417474987E1
1.324965644E2,2.258777561E1,1.139650663E2,2.079619200E1,1.416258877E0,2.693501188E2,1.417949127E1,1.417949127E1
1.335943252E2,2.258778243E1,1.139650607E2,2.128526255E1,1.142236922E0,2.785885761E2,1.417336398E1,1.417336398E1
1.345943265E2,2.258777780E1,1.139650468E2,2.107064390E1,1.217257955E0,2.682777192E2,1.418028759E1,1.418028759E1
1.355943313E2,2.258777640E1,1.139650384E2,2.157195804E1,1.138391829E0,2.645692972E2,1.418692206E1,1.418692206E1
1.365943809E2,2.258777556E1,1.139650186E2,2.214639281E1,1.322647029E0,2.659691934E2,1.419275120E1,1.419275120E1
1.375944291E2,2.258777524E1,1.139650030E2,2.127982860E1,1.385331328E0,2.682490187E2,1.419795731E1,1.419795731E1
1.385944833E2,2.258777175E1,1.139649883E2,2.120630980E1,1.422745491E0,2.674123581E2,1.420410597E1,1.420410597E1
1.395945373E2,2.258777780E1,1.139649747E2,2.029880494E1,1.340410952E0,2.714093333E2,1.421098597E1,1.421098597E1
1.405945895E2,2.258777603E1,1.139649626E2,1.729854254E1,1.331481109E0,2.787778981E2,1.423108449E1,1.423108449E1
1.415946397E2,2.258777150E1,1.139649543E2,1.577089881E1,1.132084749E0,2.705604107E2,1.424052350E1,1.424052350E1
1.425946866E2,2.258776677E1,1.139649435E2,1.518406522E1,1.114021475E0,2.672283414E2,1.424452964E1,1.424452964E1
1.435947354E2,2.258776741E1,1.139649325E2,1.413699953E1,1.163242593E0,2.690569193E2,1.424727748E1,1.424727748E1
1.445947789E2,2.258776862E1,1.139649217E2,1.413699115E1,1.173579389E0,2.685140063E2,1.425275039E1,1.425275039E1
1.455948205E2,2.258776596E1,1.139649099E2,1.369955980E1,9.481290920E-1,2.674540658E2,1.425290978E1,1.425290978E1
1.465948617E2,2.258776407E1,1.139649058E2,1.358365191E1,5.829703376E-1,2.660763411E2,1.425670959E1,1.425670959E1
1.475949022E2,2.258776016E1,1.139649105E2,1.362255547E1,0.000000000E0,2.663811718E2,1.425540895E1,1.425540895E1
1.485949394E2,2.258775696E1,1.139649130E2,1.320906978E1,0.000000000E0,2.663811719E2,1.425624318E1,1.425624318E1
1.495949767E2,2.258775696E1,1.139649130E2,1.320906978E1,0.000000000E0,2.663811719E2,1.425460945E1,1.425460945E1
1.505950094E2,2.258775696E1,1.139649130E2,1.320906978E1,0.000000000E0,2.663811719E2,1.425251739E1,1.425251739E1
1.515950435E2,2.258775696E1,1.139649130E2,1.320906978E1,0.000000000E0,2.663811719E2,1.425145377E1,1.425145377E1
1.525950747E2,2.258775696E1,1.139649130E2,1.320906978E1,0.000000000E0,2.663811719E2,1.425222556E1,1.425222556E1
