"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.997992187E0,-1.553645283E-1,3.175381720E-1,9.827748299E0
2.007992187E0,-3.576267064E-1,3.502717018E-1,9.796680450E0
2.017993750E0,-2.229767889E-1,4.211400747E-1,9.746680260E0
2.027993750E0,-3.119357526E-1,5.571115613E-1,9.861917496E0
2.039993750E0,-1.978472471E-1,8.702253103E-1,9.837353706E0
2.049993750E0,-5.178179592E-2,1.038767457E0,9.670966148E0
2.059993750E0,-1.808580011E-1,1.206371188E0,9.737151146E0
2.069993750E0,-6.288418770E-1,1.176443696E0,9.676271439E0
2.081993750E0,-7.339856625E-1,1.050834179E0,9.387081146E0
2.091993750E0,-1.769123524E-1,8.069512844E-1,9.622171402E0
2.103993750E0,2.329654098E-1,5.309381485E-1,9.848366737E0
2.113993750E0,2.534501851E-1,6.092190146E-1,1.013839054E1
2.124006250E0,2.074815184E-1,5.815228820E-1,1.027781963E1
2.135993750E0,3.626449406E-1,6.293111444E-1,1.054685116E1
2.145993750E0,3.151727021E-1,6.606751680E-1,1.061493301E1
2.155993750E0,1.254848987E-1,6.309391856E-1,1.039143848E1
2.167993750E0,-1.703426689E-1,6.350476146E-1,1.031836796E1
2.177993750E0,-2.793745995E-1,6.165931225E-1,1.029658985E1
2.189993750E0,-5.658648014E-1,6.803172231E-1,9.902858734E0
2.199993750E0,-6.441838741E-1,7.219475508E-1,9.689967155E0
2.211992187E0,-8.315157890E-1,7.589332461E-1,9.385959625E0
2.221993750E0,-7.423270345E-1,8.713170290E-1,9.613447189E0
2.231993750E0,-6.940024495E-1,9.017233849E-1,9.611225128E0
2.243992187E0,-7.377110124E-1,9.562633038E-1,9.612719536E0
2.253993750E0,-7.599196434E-1,9.408063293E-1,9.693098068E0
2.263993750E0,-7.351444364E-1,8.652740717E-1,9.459164619E0
2.275993750E0,-5.983397365E-1,8.045092225E-1,9.398036003E0
2.285993750E0,-5.911666751E-1,7.675427794E-1,9.673053741E0
2.295996875E0,-4.822497070E-1,6.709415317E-1,9.368386269E0
2.306035937E0,-2.621555030E-1,7.207887769E-1,9.412947655E0
2.317993750E0,-2.232353687E-1,7.099095583E-1,9.429687500E0
2.329993750E0,-2.781487703E-1,8.444445133E-1,9.656974792E0
2.339993750E0,-2.990645170E-1,8.798978329E-1,9.803461075E0
2.349993750E0,-4.654327929E-1,9.151309133E-1,9.820325851E0
2.361993750E0,-5.925649405E-1,8.981320858E-1,9.432752609E0
2.371993750E0,-4.465569258E-1,7.755106688E-1,9.430501938E0
2.383992187E0,-5.471804142E-1,8.311997652E-1,9.535482407E0
2.393993750E0,-5.070823431E-1,8.211728334E-1,9.495163918E0
2.403993750E0,-4.817229509E-1,9.080249667E-1,9.337204933E0
2.415993750E0,-5.507333875E-1,1.098670363E0,9.355917931E0
2.425993750E0,-5.788125992E-1,1.026710272E0,9.340738297E0
2.435993750E0,-5.913391113E-1,9.732813239E-1,9.577649117E0
2.447993750E0,-7.956411242E-1,1.069394112E0,9.742638588E0
2.457993750E0,-8.529103994E-1,1.066549778E0,9.903949738E0
2.469992187E0,-5.949399471E-1,9.878859520E-1,9.999048233E0
2.479993750E0,-6.034058928E-1,1.087800741E0,9.781022072E0
2.489993750E0,-4.493820667E-1,1.116176844E0,9.820527077E0
2.501993750E0,-2.567637563E-1,1.009108186E0,9.736442566E0
2.511993750E0,-3.147992194E-1,9.619232416E-1,9.544217110E0
2.523992187E0,-3.178733885E-1,8.820430040E-1,1.019177151E1
2.533993750E0,-4.228160083E-1,8.821483850E-1,1.068625069E1
2.543993750E0,-6.662583947E-1,9.679278731E-1,1.014784241E1
2.555992187E0,-9.298600554E-1,1.095318556E0,1.018253994E1
2.565993750E0,-9.611187577E-1,1.102730989E0,1.105049515E1
