"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.640987219E1,3.500000000E0,-3.037500000E1,-4.356250000E1
5.641987375E1,3.375000000E0,-3.037500000E1,-4.362500000E1
5.642987375E1,3.187500000E0,-3.056250000E1,-4.375000000E1
5.643987375E1,2.937500000E0,-3.037500000E1,-4.375000000E1
5.645987219E1,2.875000000E0,-3.018750000E1,-4.337500000E1
5.646987375E1,3.000000000E0,-3.018750000E1,-4.331250000E1
5.648987219E1,3.000000000E0,-3.037500000E1,-4.325000000E1
5.649987375E1,3.062500000E0,-3.062500000E1,-4.325000000E1
5.650987375E1,2.750000000E0,-3.087500000E1,-4.318750000E1
5.652987219E1,3.187500000E0,-3.131250000E1,-4.300000000E1
5.653987219E1,3.062500000E0,-3.150000000E1,-4.306250000E1
5.654987219E1,3.250000000E0,-3.168750000E1,-4.300000000E1
5.655987219E1,3.125000000E0,-3.181250000E1,-4.293750000E1
5.656987375E1,3.125000000E0,-3.187500000E1,-4.287500000E1
5.657988312E1,3.187500000E0,-3.212500000E1,-4.281250000E1
5.659987219E1,3.000000000E0,-3.206250000E1,-4.268750000E1
5.660987219E1,2.937500000E0,-3.206250000E1,-4.256250000E1
5.661987219E1,2.625000000E0,-3.225000000E1,-4.256250000E1
5.662988625E1,2.437500000E0,-3.206250000E1,-4.262500000E1
5.664987375E1,2.062500000E0,-3.193750000E1,-4.275000000E1
5.665987375E1,2.000000000E0,-3.181250000E1,-4.275000000E1
5.667987219E1,1.812500000E0,-3.168750000E1,-4.256250000E1
5.668987219E1,1.875000000E0,-3.168750000E1,-4.250000000E1
5.669987219E1,1.812500000E0,-3.175000000E1,-4.250000000E1
5.670987375E1,1.812500000E0,-3.162500000E1,-4.250000000E1
5.671987375E1,1.875000000E0,-3.187500000E1,-4.237500000E1
5.673987219E1,2.062500000E0,-3.200000000E1,-4.231250000E1
5.674987375E1,1.875000000E0,-3.193750000E1,-4.218750000E1
5.676987375E1,1.812500000E0,-3.212500000E1,-4.200000000E1
5.677987375E1,1.937500000E0,-3.231250000E1,-4.175000000E1
5.678987375E1,1.937500000E0,-3.250000000E1,-4.168750000E1
5.679987375E1,2.000000000E0,-3.262500000E1,-4.150000000E1
5.680987375E1,1.937500000E0,-3.256250000E1,-4.150000000E1
