"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.491473750E0,5.462880712E-3,4.946263134E-2,9.442231059E-2
3.503473750E0,-1.366592757E-2,5.998696759E-2,1.148601174E-1
3.513473750E0,-2.033308521E-2,6.370452046E-2,1.287878454E-1
3.523473750E0,-2.097885683E-2,6.176720187E-2,1.333606094E-1
3.535473750E0,-2.611012571E-2,3.560471535E-2,1.323483139E-1
3.545473750E0,-1.947787404E-2,1.258382387E-2,1.236391217E-1
3.557472187E0,-1.935570128E-2,4.520402756E-3,1.306902468E-1
3.567473750E0,-1.453859266E-2,1.665044017E-2,1.256811619E-1
3.577473750E0,-1.146681327E-2,2.405063622E-2,1.146157682E-1
3.587473750E0,-1.223475765E-2,1.055924222E-2,1.119803265E-1
3.597473750E0,-1.075122785E-2,-2.251474652E-3,9.986773878E-2
3.609473750E0,1.308996929E-3,-1.666789502E-2,8.431685716E-2
3.621473750E0,1.404990070E-2,-3.406882659E-2,8.272860944E-2
3.631473750E0,1.644100063E-2,-4.160865024E-2,8.210028708E-2
3.643472187E0,7.923794910E-3,-2.689552307E-2,8.440412581E-2
3.653473750E0,-9.477137588E-3,-1.082104165E-2,9.094911069E-2
3.663473750E0,-3.235840425E-2,-1.099557430E-2,1.102175415E-1
3.675473750E0,-5.986479297E-2,-2.747148275E-2,1.170766875E-1
3.687472187E0,-7.651523501E-2,-4.471533373E-2,1.088212803E-1
3.697478437E0,-6.154030934E-2,-4.604178667E-2,9.749408811E-2
3.709472187E0,-1.577777602E-2,-3.923500329E-2,9.169960022E-2
3.719472187E0,1.097812131E-2,-5.630432069E-2,9.583602846E-2
3.729472187E0,2.242748067E-2,-5.714207888E-2,9.334021062E-2
3.739473750E0,1.787217148E-2,-4.562290758E-2,9.073966742E-2
3.749473750E0,8.831365965E-3,-2.076941729E-2,1.059938446E-1
3.761473750E0,-1.720894687E-2,-1.027998887E-2,1.245641485E-1
3.771473750E0,-4.567526653E-2,-3.508111695E-3,1.444958150E-1
3.781473750E0,-4.995132238E-2,1.937315450E-3,1.514771283E-1
3.793473750E0,-3.399901465E-2,-1.968731359E-2,1.475326866E-1
3.805472187E0,-1.029744279E-2,-7.260569930E-2,1.315105557E-1
3.815472187E0,-1.274090377E-3,-1.280722618E-1,1.067443341E-1
3.825473750E0,1.469567232E-2,-1.630137563E-1,9.248499572E-2
3.835473750E0,5.567600206E-2,-1.664171368E-1,1.037423685E-1
3.847473750E0,1.040041670E-1,-1.305506229E-1,1.328020990E-1
3.857473750E0,1.268156171E-1,-1.044055969E-1,1.529955566E-1
3.867473750E0,1.392423660E-1,-7.848745584E-2,1.655793786E-1
3.877473750E0,1.439023912E-1,-6.452482194E-2,1.741314977E-1
3.889473750E0,1.407258958E-1,-8.292059600E-2,1.698903441E-1
3.901472187E0,1.388583928E-1,-1.157502383E-1,1.639038622E-1
3.911473750E0,1.563989520E-1,-1.405164599E-1,1.643227488E-1
3.921473750E0,1.838355362E-1,-1.470614374E-1,1.632930040E-1
3.933473750E0,2.027199864E-1,-1.565211266E-1,1.784773618E-1
3.943473750E0,1.987929940E-1,-1.562244147E-1,1.952499896E-1
3.953473750E0,1.818807572E-1,-1.303586364E-1,1.986184716E-1
3.965473750E0,1.525417715E-1,-1.146506816E-1,2.020742148E-1
3.975473750E0,1.253670007E-1,-1.044230461E-1,1.952150762E-1
3.987472187E0,8.323474973E-2,-1.055051535E-1,1.803099662E-1
3.997473750E0,4.925319180E-2,-1.168847010E-1,1.677785069E-1
