"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.522759625E0,2.795812190E-1,-6.746217608E-2,9.072941542E-2
1.532715625E0,2.365285605E-1,3.540800884E-2,6.157232821E-2
1.542670625E0,1.701693088E-1,1.498292685E-1,9.645366669E-2
1.552626625E0,9.509053081E-2,2.635156214E-1,1.585308909E-1
1.562582625E0,2.628597617E-2,3.287686110E-1,1.865350157E-1
1.572538625E0,-2.412792854E-2,2.933443189E-1,1.709653884E-1
1.582494625E0,-1.951192506E-2,1.903269440E-1,1.215775013E-1
1.592450625E0,3.240426630E-2,7.411724329E-2,4.045202583E-2
1.602406625E0,1.077034324E-1,-4.641935602E-2,-6.764289737E-2
1.612362625E0,1.815334409E-1,-1.817899644E-1,-1.801659912E-1
1.622318625E0,2.442141622E-1,-3.210133016E-1,-2.692057192E-1
1.632274625E0,3.078136444E-1,-4.222784042E-1,-3.265680969E-1
1.642229625E0,3.704110682E-1,-4.865849018E-1,-3.198115826E-1
1.652185625E0,4.077150226E-1,-5.374464393E-1,-2.560629547E-1
1.662141625E0,4.052933753E-1,-5.615517497E-1,-1.923189908E-1
1.672097625E0,4.150495827E-1,-4.912019968E-1,-1.563133299E-1
1.682053625E0,4.084299505E-1,-3.497596383E-1,-1.310194284E-1
1.692010000E0,3.105260134E-1,-2.401447147E-1,-1.059510857E-1
1.701966000E0,3.994794935E-2,-1.896810234E-1,-1.186440140E-1
1.711922000E0,-3.988030255E-1,-2.103703171E-1,-2.043317407E-1
1.721878000E0,-8.954882622E-1,-2.521916032E-1,-3.770007789E-1
1.731834000E0,-1.280106187E0,-1.879678667E-1,-5.779157877E-1
1.741790000E0,-1.445238829E0,3.180908784E-2,-7.388818264E-1
1.751745000E0,-1.398192286E0,2.972476780E-1,-8.260170221E-1
1.761701000E0,-1.206905365E0,5.067464709E-1,-7.864934206E-1
1.771657000E0,-9.378898740E-1,6.022109389E-1,-6.325930357E-1
1.781613000E0,-6.352825761E-1,6.013606787E-1,-3.960379362E-1
1.791569000E0,-3.794926107E-1,4.533810914E-1,-1.243086755E-1
1.801525000E0,-2.127465159E-1,1.876569241E-1,1.186710745E-1
1.811481000E0,-1.133152619E-1,-1.064921543E-1,2.713908255E-1
1.821437000E0,-5.094197765E-2,-3.547782004E-1,2.750974000E-1
1.831393000E0,-1.781838201E-2,-4.927714765E-1,1.384490132E-1
1.841349000E0,-2.109165117E-2,-5.274713635E-1,-9.309995174E-2
