"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.933613012E1,5.424845886E1,-5.284683228E0,-1.343830872E1
7.934608512E1,5.418477631E1,-5.157238007E0,-1.335311127E1
7.935604113E1,5.422654724E1,-4.944358826E0,-1.324874115E1
7.936599613E1,5.425905609E1,-4.638477325E0,-1.293176270E1
7.937595213E1,5.417694092E1,-4.596282959E0,-1.275112152E1
7.938590713E1,5.420807648E1,-4.577976227E0,-1.266704559E1
7.939586312E1,5.409956360E1,-4.435661316E0,-1.252198029E1
7.940581813E1,5.398457336E1,-4.456943512E0,-1.247251129E1
7.941577413E1,5.385843658E1,-4.549987793E0,-1.260825348E1
7.942572913E1,5.381613159E1,-4.501270294E0,-1.272937012E1
7.943568513E1,5.370784760E1,-4.419517517E0,-1.279381561E1
7.944564013E1,5.349813843E1,-4.442337036E0,-1.286426544E1
7.945559612E1,5.340947723E1,-4.484264374E0,-1.278856659E1
7.946555113E1,5.329902649E1,-4.378841400E0,-1.266486359E1
7.947550713E1,5.337717438E1,-4.405849457E0,-1.249865723E1
7.948546213E1,5.337683868E1,-4.452026367E0,-1.243481445E1
7.949541813E1,5.312754822E1,-4.472560883E0,-1.236045074E1
7.950537313E1,5.305612183E1,-4.338527679E0,-1.222165680E1
7.951532912E1,5.305226135E1,-4.147937775E0,-1.199214935E1
7.952528413E1,5.282888794E1,-3.980911255E0,-1.196833801E1
7.953524013E1,5.268924713E1,-3.943962097E0,-1.207106018E1
7.954519513E1,5.246193695E1,-3.846138000E0,-1.202361298E1
7.955515113E1,5.246575165E1,-3.775474548E0,-1.190359497E1
7.956510613E1,5.241733551E1,-3.766494751E0,-1.178100586E1
7.957506212E1,5.219588470E1,-3.696010590E0,-1.152379608E1
7.958501713E1,5.216890717E1,-3.789081573E0,-1.156849670E1
7.959497313E1,5.194529724E1,-3.918159485E0,-1.137855530E1
7.960492813E1,5.179048920E1,-4.112274170E0,-1.169293213E1
7.961488413E1,5.166443634E1,-4.262683868E0,-1.156581879E1
7.962483913E1,5.155033875E1,-4.334899902E0,-1.159685516E1
7.963479512E1,5.139000702E1,-4.495418549E0,-1.146585083E1
7.964475013E1,5.137845612E1,-4.408157349E0,-1.101387787E1
7.965470613E1,5.131717682E1,-4.701099396E0,-1.084346008E1
7.966466113E1,5.122715759E1,-4.872661591E0,-1.079212952E1
7.967461713E1,5.124198914E1,-4.993907928E0,-1.078489685E1
7.968457213E1,5.123240662E1,-5.089828491E0,-1.069079590E1
7.969452812E1,5.109324646E1,-5.333122253E0,-1.034011078E1
7.970448313E1,5.095050049E1,-5.385471344E0,-9.945739746E0
7.971443913E1,5.103772736E1,-5.482337952E0,-9.838562012E0
7.972439413E1,5.087635040E1,-5.607299805E0,-9.646293640E0
7.973435013E1,5.064733887E1,-5.709682465E0,-9.477043152E0
7.974430513E1,5.068232727E1,-5.975883484E0,-9.290710449E0
7.975426112E1,5.056790924E1,-6.381092072E0,-9.140892029E0
7.976421613E1,5.042125702E1,-6.802848816E0,-9.402267456E0
7.977417213E1,5.027913666E1,-6.930789948E0,-9.664474487E0
7.978412713E1,5.020999908E1,-7.190979004E0,-9.934936523E0
7.979408313E1,4.992887115E1,-7.115833282E0,-9.981826782E0
7.980403812E1,4.974905396E1,-7.115360260E0,-1.005961609E1
7.981399412E1,4.965283203E1,-6.950492859E0,-1.014414215E1
7.982394913E1,4.959867859E1,-6.878376007E0,-1.014522552E1
7.983390513E1,4.958127594E1,-6.661659241E0,-1.001828003E1
7.984386013E1,4.946482849E1,-6.409908295E0,-9.906875610E0
7.985381613E1,4.961360168E1,-6.408588409E0,-9.644233704E0
7.986377112E1,4.958825684E1,-6.423465729E0,-9.578712463E0
7.987372712E1,4.950083923E1,-6.667129517E0,-9.428199768E0
7.988368213E1,4.947909546E1,-6.733478546E0,-9.319091797E0
7.989363813E1,4.924157715E1,-6.854358673E0,-9.279594421E0
7.990359313E1,4.908728790E1,-6.979091644E0,-9.236900330E0
7.991354913E1,4.898986053E1,-7.089050293E0,-9.526214600E0
7.992350412E1,4.886897278E1,-7.175907135E0,-9.444381714E0
7.993346013E1,4.886228180E1,-7.115047455E0,-9.279159546E0
